asset_path,filename,dimensions,bytes,source_zip,source_filename,note,status
assets/ren_apartment_exterior_night.jpg,ren_apartment_exterior_night.jpg,1672x941,331497,Ren Route.zip,817C800A-0148-457D-A538-B41C296B3C42.PNG,Ren doorway/apartment night,mapped
assets/ren_cherry_blossom_date_alt.jpg,ren_cherry_blossom_date_alt.jpg,1672x941,555246,Ren Route.zip,827B5C2E-F419-4D70-AC9F-C006390E61BF.PNG,Ren cherry date alternate/raw extra,mapped
assets/tommy_parents_sukiyaki_actual.jpg,tommy_parents_sukiyaki_actual.jpg,1672x941,466432,Ren Route.zip,DF6AE7BD-3C40-4324-A15A-3ED45B40B62F.PNG,Tommy parents sukiyaki actual,mapped
assets/tommy_family_sukiyaki_pov.jpg,tommy_family_sukiyaki_pov.jpg,1672x941,466432,Ren Route.zip,DF6AE7BD-3C40-4324-A15A-3ED45B40B62F.PNG,Tommy family sukiyaki POV,mapped
assets/tommy_family_sukiyaki_wide_latest.jpg,tommy_family_sukiyaki_wide_latest.jpg,1672x941,466432,Ren Route.zip,DF6AE7BD-3C40-4324-A15A-3ED45B40B62F.PNG,Tommy family sukiyaki wide,mapped
assets/tommy_family_dinner_pov_latest.jpg,tommy_family_dinner_pov_latest.jpg,1672x941,466432,Ren Route.zip,DF6AE7BD-3C40-4324-A15A-3ED45B40B62F.PNG,Tommy family dinner POV,mapped
assets/new_uploads__ren_route_0048c428-f74c-4660-8833-34dcb7651e2e.jpg,new_uploads__ren_route_0048c428-f74c-4660-8833-34dcb7651e2e.jpg,1672x941,518084,Ren Route.zip,0048C428-F74C-4660-8833-34DCB7651E2E.PNG,Extra updated Ren Route image included but not directly remapped by existing target key,included_extra
assets/new_uploads__ren_route_221262fb-127e-4840-b766-033d88d19cb3_2.jpg,new_uploads__ren_route_221262fb-127e-4840-b766-033d88d19cb3_2.jpg,1672x941,624900,Ren Route.zip,221262FB-127E-4840-B766-033D88D19CB3 2.PNG,Extra updated Ren Route image included but not directly remapped by existing target key,included_extra
assets/new_uploads__ren_route_528e25dd-0b3f-4303-b89b-5b274d5141f7.jpg,new_uploads__ren_route_528e25dd-0b3f-4303-b89b-5b274d5141f7.jpg,1672x941,334900,Ren Route.zip,528E25DD-0B3F-4303-B89B-5B274D5141F7.PNG,Extra updated Ren Route image included but not directly remapped by existing target key,included_extra
assets/new_uploads__ren_route_9dcb7ed5-217a-487b-b10c-380b4d649f43.jpg,new_uploads__ren_route_9dcb7ed5-217a-487b-b10c-380b4d649f43.jpg,1672x941,355785,Ren Route.zip,9DCB7ED5-217A-487B-B10C-380B4D649F43.PNG,Extra updated Ren Route image included but not directly remapped by existing target key,included_extra
assets/new_uploads__ren_route_a2397ddf-75be-4a04-b5c6-99cd5f74db8f.jpg,new_uploads__ren_route_a2397ddf-75be-4a04-b5c6-99cd5f74db8f.jpg,1672x941,422382,Ren Route.zip,A2397DDF-75BE-4A04-B5C6-99CD5F74DB8F.PNG,Extra updated Ren Route image included but not directly remapped by existing target key,included_extra
assets/new_uploads__ren_route_cdb5e50b-7a93-42ba-9de4-f2520b9d3e2c.jpg,new_uploads__ren_route_cdb5e50b-7a93-42ba-9de4-f2520b9d3e2c.jpg,1672x941,388419,Ren Route.zip,CDB5E50B-7A93-42BA-9DE4-F2520B9D3E2C.PNG,Extra updated Ren Route image included but not directly remapped by existing target key,included_extra
assets/new_uploads__ren_route_e2564041-1e48-4ef0-807a-7eb81fca59ff.jpg,new_uploads__ren_route_e2564041-1e48-4ef0-807a-7eb81fca59ff.jpg,1672x941,778609,Ren Route.zip,E2564041-1E48-4EF0-807A-7EB81FCA59FF.PNG,Extra updated Ren Route image included but not directly remapped by existing target key,included_extra
assets/new_uploads__ren_route_ee2dd7ab-d40d-4825-9c08-ef7b4e600251_2.jpg,new_uploads__ren_route_ee2dd7ab-d40d-4825-9c08-ef7b4e600251_2.jpg,1672x941,546914,Ren Route.zip,EE2DD7AB-D40D-4825-9C08-EF7B4E600251 2.PNG,Extra updated Ren Route image included but not directly remapped by existing target key,included_extra
assets/new_uploads__ren_route_ee2dd7ab-d40d-4825-9c08-ef7b4e600251.jpg,new_uploads__ren_route_ee2dd7ab-d40d-4825-9c08-ef7b4e600251.jpg,1672x941,546914,Ren Route.zip,EE2DD7AB-D40D-4825-9C08-EF7B4E600251.PNG,Extra updated Ren Route image included but not directly remapped by existing target key,included_extra
