asset_id,asset_key,title,route_or_category,ending_titles,file_name,relative_path,extension,width_px,height_px,size_bytes,sha256_16,referenced_by_index,included_in_zip
12,aquarium_tunnel_stroll_with_a_serene_gaze,Aquarium Tunnel Stroll With a Serene Gaze,Hiroshi Route,,aquarium_tunnel_stroll_with_a_serene_gaze.jpg,assets/aquarium_tunnel_stroll_with_a_serene_gaze.jpg,jpg,800,1000,154036,14c5afb59b9924b9,yes,yes
13,calm_professional_in_hospital_corridor,Calm Professional in Hospital Corridor,Shared Route CG,,calm_professional_in_hospital_corridor.jpg,assets/calm_professional_in_hospital_corridor.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
14,campus_courtyard_transition,Campus Courtyard Transition,Transition / Airi,,campus_courtyard_transition.jpg,assets/campus_courtyard_transition.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
15,campus_festival_invitation_on_a_sunny_day,Campus Festival Invitation On a Sunny Day,Shared Route CG,,campus_festival_invitation_on_a_sunny_day.jpg,assets/campus_festival_invitation_on_a_sunny_day.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
16,candlelit_kiss_in_a_cozy_apartment,Candlelit Kiss in a Cozy Apartment,Shared Route CG,,candlelit_kiss_in_a_cozy_apartment.jpg,assets/candlelit_kiss_in_a_cozy_apartment.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
17,casual_elegance_in_a_gallery_setting,Casual Elegance in a Gallery Setting,Shared Route CG,,casual_elegance_in_a_gallery_setting.jpg,assets/casual_elegance_in_a_gallery_setting.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
18,casual_gamer_vibe_character_portrait,Casual Gamer Vibe Character Portrait,Marcus Route,,casual_gamer_vibe_character_portrait.jpg,assets/casual_gamer_vibe_character_portrait.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
19,cherry_blossoms_and_tender_hearts,Cherry Blossoms And Tender Hearts,Shared Route CG,,cherry_blossoms_and_tender_hearts.jpg,assets/cherry_blossoms_and_tender_hearts.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
20,chocolates_at_the_doorstep,Chocolates at the Doorstep,Shared Route CG,,chocolates_at_the_doorstep.jpg,assets/chocolates_at_the_doorstep.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
21,confident_elegance_in_neutral_tones,Confident Elegance in Neutral Tones,Shared Route CG,,confident_elegance_in_neutral_tones.jpg,assets/confident_elegance_in_neutral_tones.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
22,confident_style_in_casual_streetwear,Confident Style in Casual Streetwear,Shared Route CG,,confident_style_in_casual_streetwear.jpg,assets/confident_style_in_casual_streetwear.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
23,contemplating_the_city_lights,Contemplating the City Lights,Shared Route CG,,contemplating_the_city_lights.jpg,assets/contemplating_the_city_lights.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
24,contemplating_the_night_in_luxury,Contemplating the Night in Luxury,Shared Route CG,,contemplating_the_night_in_luxury.jpg,assets/contemplating_the_night_in_luxury.jpg,jpg,1536,864,318530,90d6d450669297a2,yes,yes
25,contemplation_in_dark_elegance,Contemplation in Dark Elegance,Shared Route CG,,contemplation_in_dark_elegance.jpg,assets/contemplation_in_dark_elegance.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
26,contemplative_evening_dinner_in_the_city,Contemplative Evening Dinner in the City,Shared Route CG,,contemplative_evening_dinner_in_the_city.jpg,assets/contemplative_evening_dinner_in_the_city.jpg,jpg,1536,864,361318,8c9ef4c41a962609,yes,yes
27,contemplative_evening_in_a_modern_workspace,Contemplative Evening in a Modern Workspace,Shared Route CG,,contemplative_evening_in_a_modern_workspace.jpg,assets/contemplative_evening_in_a_modern_workspace.jpg,jpg,1536,864,318530,90d6d450669297a2,yes,yes
28,contemplative_night_in_the_city,Contemplative Night in the City,Shared Route CG,,contemplative_night_in_the_city.jpg,assets/contemplative_night_in_the_city.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
29,contemplative_night_in_urban_solitude,Contemplative Night in Urban Solitude,Shared Route CG,,contemplative_night_in_urban_solitude.jpg,assets/contemplative_night_in_urban_solitude.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
30,contemplative_night_ride_in_the_city,Contemplative Night Ride in the City,Shared Route CG,,contemplative_night_ride_in_the_city.jpg,assets/contemplative_night_ride_in_the_city.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
31,cozy_dinner_under_city_lights,Cozy Dinner Under City Lights,Shared Route CG,,cozy_dinner_under_city_lights.jpg,assets/cozy_dinner_under_city_lights.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
32,cozy_evening_coffee_shop_moment,Cozy Evening Coffee Shop Moment,Shared Route CG,,cozy_evening_coffee_shop_moment.jpg,assets/cozy_evening_coffee_shop_moment.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
33,cozy_evening_cuddle_in_soft_light,Cozy Evening Cuddle in Soft Light,Shared Route CG,,cozy_evening_cuddle_in_soft_light.jpg,assets/cozy_evening_cuddle_in_soft_light.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
34,cozy_evening_in_a_modern_apartment,Cozy Evening in a Modern Apartment,Shared Route CG,,cozy_evening_in_a_modern_apartment.jpg,assets/cozy_evening_in_a_modern_apartment.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
35,cozy_evening_with_city_views,Cozy Evening With City Views,Shared Route CG,,cozy_evening_with_city_views.jpg,assets/cozy_evening_with_city_views.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
36,cozy_game_night_in_city_apartment,Cozy Game Night in City Apartment,Marcus Route,,cozy_game_night_in_city_apartment.jpg,assets/cozy_game_night_in_city_apartment.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
37,cozy_game_night_in_city_lights,Cozy Game Night in City Lights,Marcus Route,,cozy_game_night_in_city_lights.jpg,assets/cozy_game_night_in_city_lights.jpg,jpg,1536,864,436122,a30c405e7d2c6854,yes,yes
38,cozy_game_night_in_the_city,Cozy Game Night in the City,Marcus Route,,cozy_game_night_in_the_city.jpg,assets/cozy_game_night_in_the_city.jpg,jpg,1536,864,454637,4457a11429513485,yes,yes
39,cozy_game_night_with_a_city_view,Cozy Game Night With a City View,Marcus Route,,cozy_game_night_with_a_city_view.jpg,assets/cozy_game_night_with_a_city_view.jpg,jpg,1536,864,415429,bd6f7da8d632d0d8,yes,yes
40,cozy_night_in_a_warm_kitchen,Cozy Night in a Warm Kitchen,Shared Route CG,,cozy_night_in_a_warm_kitchen.jpg,assets/cozy_night_in_a_warm_kitchen.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
41,cozy_portrait_of_a_relaxed_man,Cozy Portrait of a Relaxed Man,Shared Route CG,,cozy_portrait_of_a_relaxed_man.jpg,assets/cozy_portrait_of_a_relaxed_man.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
42,cozy_study_date_in_warm_lights,Cozy Study Date in Warm Lights,Kenji Route,,cozy_study_date_in_warm_lights.jpg,assets/cozy_study_date_in_warm_lights.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
43,doctor_in_hospital_corridor_at_night,Doctor in Hospital Corridor at Night,Ren Route,,doctor_in_hospital_corridor_at_night.jpg,assets/doctor_in_hospital_corridor_at_night.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
44,elegant_evening_shopping_ambiance,Elegant Evening Shopping Ambiance,Shared Route CG,,elegant_evening_shopping_ambiance.jpg,assets/elegant_evening_shopping_ambiance.jpg,jpg,1536,864,434489,f859643920a2be8c,yes,yes
45,emotional_moment_at_minoo_station,Emotional Moment at Minoo Station,Shared Route CG,,emotional_moment_at_minoo_station.jpg,assets/emotional_moment_at_minoo_station.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
46,empty_japanese_station,Empty Japanese Station,Transition / Airi,,empty_japanese_station.jpg,assets/empty_japanese_station.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
47,empty_osaka_alley,Empty Osaka Alley,Hiroshi Route,,empty_osaka_alley.jpg,assets/empty_osaka_alley.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
48,evening_conversation_on_the_veranda,Evening Conversation On the Veranda,Shared Route CG,,evening_conversation_on_the_veranda.jpg,assets/evening_conversation_on_the_veranda.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
49,festival_romance_by_the_motorcycle,Festival Romance By the Motorcycle,Shared Route CG,,festival_romance_by_the_motorcycle.jpg,assets/festival_romance_by_the_motorcycle.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
50,friend_camille_phone,Friend Council · Camille on the phone,Friend Council,,friend_camille_phone.jpg,assets/friend_camille_phone.jpg,jpg,1024,1536,282725,56dd65b998e69f9e,yes,yes
51,friend_jade_phone,Friend Council · Jade on the phone,Friend Council,,friend_jade_phone.jpg,assets/friend_jade_phone.jpg,jpg,1024,1536,282725,56dd65b998e69f9e,yes,yes
52,friend_tessa_phone,Friend Council · Tessa on the phone,Friend Council,,friend_tessa_phone.jpg,assets/friend_tessa_phone.jpg,jpg,1024,1536,282725,56dd65b998e69f9e,yes,yes
53,golden_hour_romance_in_the_mall,Golden Hour Romance in the Mall,Marcus Route,,golden_hour_romance_in_the_mall.jpg,assets/golden_hour_romance_in_the_mall.jpg,jpg,1536,864,432324,029ee8b5ecf3eb33,yes,yes
54,golden_hour_stroll_by_the_river,Golden Hour Stroll By the River,Shared Route CG,,golden_hour_stroll_by_the_river.jpg,assets/golden_hour_stroll_by_the_river.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
55,golden_hour_stroll_in_the_park,Golden Hour Stroll in the Park,Harrison Route,,golden_hour_stroll_in_the_park.jpg,assets/golden_hour_stroll_in_the_park.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
56,harrison_bad_empty_space_between_us,Harrison Bad Ending Empty Space Between Us,Harrison Route,Harrison Bad Ending: Safe Was Not Enough,harrison_bad_empty_space_between_us.jpg,assets/harrison_bad_empty_space_between_us.jpg,jpg,1672,941,524660,6644a946eb12cef0,yes,yes
57,harrison_bittersweet_airport_goodbye,Harrison Bittersweet Airport Goodbye,Harrison Route,"Harrison Bittersweet Ending: Loved Her Enough to Let Her Go; Harrison Bittersweet Ending: The Right Man, Wrong Life",harrison_bittersweet_airport_goodbye.jpg,assets/harrison_bittersweet_airport_goodbye.jpg,jpg,1672,941,484355,2a0f5c3485a18ef1,yes,yes
58,harrison_cafe_conversation,Harrison Route · Quiet café conversation,Harrison Route,,harrison_cafe_conversation.jpg,assets/harrison_cafe_conversation.jpg,jpg,1086,1448,276614,f6d26a23697f02f6,yes,yes
59,harrison_city_dinner,Harrison City Dinner,Harrison Route,,harrison_city_dinner.jpg,assets/harrison_city_dinner.jpg,jpg,800,1000,195498,ff08fa9dff12e5b4,yes,yes
60,harrison_domestic_good_ending,Harrison Domestic Good Ending,Harrison Route,,harrison_domestic_good_ending.jpg,assets/harrison_domestic_good_ending.jpg,jpg,800,1000,195498,ff08fa9dff12e5b4,yes,yes
61,harrison_girlfriend_ask,Harrison Route · Girlfriend ask,Harrison Route,,harrison_girlfriend_ask.jpg,assets/harrison_girlfriend_ask.jpg,jpg,1086,1448,357365,51769eea436b53c4,yes,yes
62,harrison_museum_date,Harrison Route · Museum date,Harrison Route,,harrison_museum_date.jpg,assets/harrison_museum_date.jpg,jpg,1086,1448,277519,7cf38c5802185370,yes,yes
63,harrison_park_first_date,Harrison Route · Park first date,Harrison Route,,harrison_park_first_date.jpg,assets/harrison_park_first_date.jpg,jpg,1086,1448,323419,73b58cb72b77b79a,yes,yes
64,harrison_park_walk,Harrison Park Walk,Harrison Route,,harrison_park_walk.jpg,assets/harrison_park_walk.jpg,jpg,800,1000,195498,ff08fa9dff12e5b4,yes,yes
65,harrison_white_party,Harrison Route · White party glow,Harrison Route,,harrison_white_party.jpg,assets/harrison_white_party.jpg,jpg,1086,1448,277852,38e5e4eb75bdf53c,yes,yes
66,harrison_white_roses,Harrison Route · White roses at the door,Harrison Route,,harrison_white_roses.jpg,assets/harrison_white_roses.jpg,jpg,1086,1448,317483,e1967e6622c2e19d,yes,yes
67,hiroshi_aquarium,Hiroshi Aquarium,Hiroshi Route,,hiroshi_aquarium.jpg,assets/hiroshi_aquarium.jpg,jpg,1536,864,282515,ebe19e087a520683,yes,yes
68,hiroshi_aquarium_tunnel,Hiroshi Aquarium Tunnel,Hiroshi Route,,hiroshi_aquarium_tunnel.jpg,assets/hiroshi_aquarium_tunnel.jpg,jpg,1536,864,282515,ebe19e087a520683,yes,yes
69,hiroshi_character_card,Hiroshi Tanaka · Character Card,Hiroshi Route,,hiroshi_character_card.jpg,assets/hiroshi_character_card.jpg,jpg,1536,864,414255,ec33f02dc1185bb7,yes,yes
70,hiroshi_dad_couch,Hiroshi Dad Couch,Hiroshi Route,,hiroshi_dad_couch.jpg,assets/hiroshi_dad_couch.jpg,jpg,1536,864,276861,db924b6a823a5273,yes,yes
71,hiroshi_dotonbori_night,Hiroshi Dotonbori Night,Hiroshi Route,Hiroshi Neutral Ending: Your Prince?,hiroshi_dotonbori_night.jpg,assets/hiroshi_dotonbori_night.jpg,jpg,1536,864,414255,ec33f02dc1185bb7,yes,yes
72,hiroshi_hand_kiss_temporary,Hiroshi Hand Kiss Temporary,Hiroshi Route,,hiroshi_hand_kiss_temporary.jpg,assets/hiroshi_hand_kiss_temporary.jpg,jpg,1536,864,370630,7e88dd7cda1cb5d7,yes,yes
73,hiroshi_karaoke_lounge,Hiroshi Karaoke Lounge,Hiroshi Route,,hiroshi_karaoke_lounge.jpg,assets/hiroshi_karaoke_lounge.jpg,jpg,1536,864,258073,d5b0e9f0b97c3f19,yes,yes
74,hiroshi_osaka_alley_rain,Hiroshi Osaka Alley Rain,Hiroshi Route,,hiroshi_osaka_alley_rain.jpg,assets/hiroshi_osaka_alley_rain.jpg,jpg,1536,864,336089,d3335d840a548f1b,yes,yes
75,hiroshi_osaka_city_stroll,Hiroshi Osaka City Stroll,Hiroshi Route,,hiroshi_osaka_city_stroll.jpg,assets/hiroshi_osaka_city_stroll.jpg,jpg,1536,864,370630,7e88dd7cda1cb5d7,yes,yes
76,hiroshi_train_reflection,Hiroshi Train Reflection,Hiroshi Route,Hiroshi Bad Ending: Stayed Too Long,hiroshi_train_reflection.jpg,assets/hiroshi_train_reflection.jpg,jpg,1536,864,291389,45ef52882a04cfe4,yes,yes
77,hiroshi_waterfront_date,Hiroshi Waterfront Date,Hiroshi Route,Hiroshi Good Ending: A Beautiful Temporary Thing,hiroshi_waterfront_date.jpg,assets/hiroshi_waterfront_date.jpg,jpg,1536,864,370630,7e88dd7cda1cb5d7,yes,yes
78,house_in_hyogo_home,House in Hyogo Home,Secret Ending,,house_in_hyogo_home.jpg,assets/house_in_hyogo_home.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
79,house_in_hyogo_wedding,House in Hyogo Wedding,Secret Ending,,house_in_hyogo_wedding.jpg,assets/house_in_hyogo_wedding.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
80,intimate_cafe_conversation_at_night,Intimate Cafe Conversation at Night,Shared Route CG,,intimate_cafe_conversation_at_night.jpg,assets/intimate_cafe_conversation_at_night.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
81,intimate_dinner_with_city_view,Intimate Dinner With City View,Shared Route CG,,intimate_dinner_with_city_view.jpg,assets/intimate_dinner_with_city_view.jpg,jpg,1536,864,300504,075c05c1b492aee6,yes,yes
82,inviting_sunset_in_a_music_room,Inviting Sunset in a Music Room,Shared Route CG,,inviting_sunset_in_a_music_room.jpg,assets/inviting_sunset_in_a_music_room.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
83,karaoke_vibes_in_a_cozy_lounge,Karaoke Vibes in a Cozy Lounge,Shared Route CG,,karaoke_vibes_in_a_cozy_lounge.jpg,assets/karaoke_vibes_in_a_cozy_lounge.jpg,jpg,1536,864,258073,d5b0e9f0b97c3f19,yes,yes
84,kenji_cafe_warmth,Kenji Cafe Warmth,Kenji Route,Kenji Bittersweet Ending: Too Precious to Risk,kenji_cafe_warmth.jpg,assets/kenji_cafe_warmth.jpg,jpg,800,1000,161241,69467967e9c962dd,yes,yes
85,kenji_character_card,Kenji Sato · Character Card,Kenji Route,,kenji_character_card.jpg,assets/kenji_character_card.jpg,jpg,800,1000,161241,69467967e9c962dd,yes,yes
86,kenji_quiet_study,Kenji Quiet Study,Kenji Route,Kenji Bad Ending: Backup Plan,kenji_quiet_study.jpg,assets/kenji_quiet_study.jpg,jpg,800,1000,161241,69467967e9c962dd,yes,yes
87,kenji_riverside_confession,Kenji Confession · Riverside blush,Kenji Route,,kenji_riverside_confession.jpg,assets/kenji_riverside_confession.jpg,jpg,800,1000,161241,69467967e9c962dd,yes,yes
88,kenji_riverside_date,Kenji Riverside Date,Kenji Route,,kenji_riverside_date.jpg,assets/kenji_riverside_date.jpg,jpg,800,1000,161241,69467967e9c962dd,yes,yes
89,kenji_riverside_kiss_good_ending,Kenji Riverside Kiss Good Ending,Kenji Route,Kenji Good Ending: Home Was Here Too,kenji_riverside_kiss_good_ending.jpg,assets/kenji_riverside_kiss_good_ending.jpg,jpg,800,1000,161241,69467967e9c962dd,yes,yes
90,kenji_riverside_talking,Kenji Route · Riverside honesty,Kenji Route,,kenji_riverside_talking.jpg,assets/kenji_riverside_talking.jpg,jpg,800,1000,161241,69467967e9c962dd,yes,yes
91,korean_restaurant_transition,Korean Restaurant Transition,Transition / Airi,,korean_restaurant_transition.jpg,assets/korean_restaurant_transition.jpg,jpg,1086,1448,321845,6e4f23e32f484853,yes,yes
92,kyoto_station_vibes_with_motorcycle_rider,Kyoto Station Vibes With Motorcycle Rider,Ren Route,,kyoto_station_vibes_with_motorcycle_rider.jpg,assets/kyoto_station_vibes_with_motorcycle_rider.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
93,living_room_reflection,Living Room Reflection,Transition / Airi,,living_room_reflection.jpg,assets/living_room_reflection.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
94,lonely_night_in_the_city,Lonely Night in the City,Shared Route CG,Tommy Bad Ending: Endless Loop; Tommy Friends Ending: The Word Friend,lonely_night_in_the_city.jpg,assets/lonely_night_in_the_city.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
95,marcus_bittersweet_growth,Marcus Bittersweet Growth,Marcus Route,Marcus Bittersweet Ending: Almost Enough Fire; Marcus Bittersweet Ending: They Both Grew,marcus_bittersweet_growth.jpg,assets/marcus_bittersweet_growth.jpg,jpg,1536,864,434489,f859643920a2be8c,yes,yes
96,marcus_city_night_out,Marcus City Night Out,Marcus Route,Marcus Good Ending: He Got His Shit Together,marcus_city_night_out.jpg,assets/marcus_city_night_out.jpg,jpg,1536,864,411532,2135a65efd053f0a,yes,yes
97,marcus_cozy_game_night,Marcus Cozy Game Night,Marcus Route,,marcus_cozy_game_night.jpg,assets/marcus_cozy_game_night.jpg,jpg,1536,864,436122,a30c405e7d2c6854,yes,yes
98,melancholic_evening_in_a_cozy_room,Melancholic Evening in a Cozy Room,Shared Route CG,,melancholic_evening_in_a_cozy_room.jpg,assets/melancholic_evening_in_a_cozy_room.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
99,menu_locked_secret,Main Menu · Secret Route Locked,System/Menu,,menu_locked_secret.jpg,assets/menu_locked_secret.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
100,,Japanese Locked Menu,Menu,,menu_locked_secret_jp.jpg,assets/menu_locked_secret_jp.jpg,jpg,1536,864,518764,03691435c70a2b8d,yes,yes
101,menu_unlocked_kenji,Main Menu · Kenji Unlocked,System/Menu,,menu_unlocked_kenji.jpg,assets/menu_unlocked_kenji.jpg,jpg,800,1000,161241,69467967e9c962dd,yes,yes
102,,Japanese Unlocked Kenji Menu,Menu,,menu_unlocked_kenji_jp.jpg,assets/menu_unlocked_kenji_jp.jpg,jpg,1536,864,529123,463c19efc58f12cf,yes,yes
103,modern_streetwear_portrait_in_digital_art,Modern Streetwear Portrait in Digital Art,Shared Route CG,,modern_streetwear_portrait_in_digital_art.jpg,assets/modern_streetwear_portrait_in_digital_art.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
104,airi_train_phone_day,Airi Train Phone Day,Tommy / Cross-route,,new_uploads__airi_train_phone_day.jpg,assets/new_uploads__airi_train_phone_day.jpg,jpg,1024,1536,282725,56dd65b998e69f9e,yes,yes
105,airi_train_phone_rain_night,Airi Train Phone Rain Night,Tommy / Cross-route,,new_uploads__airi_train_phone_rain_night.jpg,assets/new_uploads__airi_train_phone_rain_night.jpg,jpg,1024,1536,346223,1baf186437586cb5,yes,yes
106,harrison_cafe_conversation_latest,Harrison Cafe Conversation Latest,Harrison Route,,new_uploads__harrison_cafe_conversation_latest.jpg,assets/new_uploads__harrison_cafe_conversation_latest.jpg,jpg,1086,1448,314384,fe097100a6923b07,yes,yes
107,harrison_girlfriend_ask_latest,Harrison Girlfriend Ask Latest,Harrison Route,,new_uploads__harrison_girlfriend_ask_latest.jpg,assets/new_uploads__harrison_girlfriend_ask_latest.jpg,jpg,1086,1448,351328,3103c36755671d80,yes,yes
108,harrison_good_ending_couch_kiss,Harrison Good Ending Couch Kiss,Harrison Route,Harrison Good Ending: Home Felt Like a Choice,new_uploads__harrison_good_ending_couch_kiss.jpg,assets/new_uploads__harrison_good_ending_couch_kiss.jpg,jpg,1536,864,305358,f11818152d945e7b,yes,yes
109,harrison_good_ending_kitchen_morning,Harrison Good Ending Kitchen Morning,Harrison Route,Harrison Good Ending: Home Felt Like a Choice,new_uploads__harrison_good_ending_kitchen_morning.jpg,assets/new_uploads__harrison_good_ending_kitchen_morning.jpg,jpg,1536,864,323575,8fe021d82c988ab4,yes,yes
110,harrison_job_offer_airi_laptop,Harrison Job Offer Airi Laptop,Harrison Route,,new_uploads__harrison_job_offer_airi_laptop.jpg,assets/new_uploads__harrison_job_offer_airi_laptop.jpg,jpg,1448,1086,289269,fbfeca2e83ee19e0,yes,yes
111,harrison_job_offer_apartment_before_email,Harrison Job Offer Apartment Before Email,Harrison Route,,new_uploads__harrison_job_offer_apartment_before_email.jpg,assets/new_uploads__harrison_job_offer_apartment_before_email.jpg,jpg,1536,864,246329,7b2254d359d5f971,yes,yes
112,harrison_museum_date_latest,Harrison Museum Date Latest,Harrison Route,,new_uploads__harrison_museum_date_latest.jpg,assets/new_uploads__harrison_museum_date_latest.jpg,jpg,1086,1448,328713,5421db51cfb21611,yes,yes
113,harrison_park_first_date_latest,Harrison Park First Date Latest,Harrison Route,,new_uploads__harrison_park_first_date_latest.jpg,assets/new_uploads__harrison_park_first_date_latest.jpg,jpg,1086,1448,464901,714b9e589c5c0c9b,yes,yes
114,harrison_white_party_latest,Harrison White Party Latest,Harrison Route,,new_uploads__harrison_white_party_latest.jpg,assets/new_uploads__harrison_white_party_latest.jpg,jpg,1086,1448,351581,71656343d7b9cce1,yes,yes
115,harrison_white_roses_latest,Harrison White Roses Latest,Harrison Route,,new_uploads__harrison_white_roses_latest.jpg,assets/new_uploads__harrison_white_roses_latest.jpg,jpg,1086,1448,332880,6517f3d78860aa34,yes,yes
116,kenji_cherry_riverside_walk_couple,Kenji Cherry Riverside Walk Couple,Kenji Secret Route,,new_uploads__kenji_cherry_riverside_walk_couple.jpg,assets/new_uploads__kenji_cherry_riverside_walk_couple.jpg,jpg,1536,864,369820,0c91311c192cd135,yes,yes
117,kenji_final_kiss_cherry,Kenji Final Kiss Cherry,Kenji Secret Route,Kenji Good Ending: The Friend Who Stayed,new_uploads__kenji_final_kiss_cherry.jpg,assets/new_uploads__kenji_final_kiss_cherry.jpg,jpg,1536,864,298865,8dea5a2b33201294,yes,yes
118,kenji_final_walk_good_friends,Kenji Final Walk Good Friends,Kenji Secret Route,Kenji Bittersweet Ending: Still Beside You,new_uploads__kenji_final_walk_good_friends.jpg,assets/new_uploads__kenji_final_walk_good_friends.jpg,jpg,1086,1448,346694,525772de2c82b208,yes,yes
119,kenji_last_scene_talking_cherry,Kenji Last Scene Talking Cherry,Kenji Secret Route,,new_uploads__kenji_last_scene_talking_cherry.jpg,assets/new_uploads__kenji_last_scene_talking_cherry.jpg,jpg,1536,864,361381,14334481f8590386,yes,yes
120,kenji_tommy_shadow_cherry,Kenji Tommy Shadow Cherry,Kenji Secret Route,,new_uploads__kenji_tommy_shadow_cherry.jpg,assets/new_uploads__kenji_tommy_shadow_cherry.jpg,jpg,1024,1536,282594,0f267b428bbfa225,yes,yes
